,category,definition,name,note,provenance,provenance_uri,resource_uri,term,vocabulary_id,vocabulary_status
27,Surface Water Sites,"Site in the open ocean, gulf, or sea. (See also: Coastal, Estuary, and Tidal stream).",Ocean,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/ocean/,ocean,262,Current
28,Land Sites,The part of a rock formation that appears at the surface of the surrounding land.,Outcrop,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/outcrop/,outcrop,263,Current
29,Facility Sites,"A site where water or wastewater is returned to a surface-water body, e.g. the point where wastewater is returned to a stream. Typically, the discharge end of an effluent pipe.",Outfall,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/outfall/,outfall,264,Current
30,Land Sites,"A surface site where the land surface is covered by a relatively impermeable material, such as concrete or asphalt. Pavement sites are typically part of transportation infrastructure, such as roadways, parking lots, or runways.",Pavement,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/pavement/,pavement,265,Current
31,Land Sites,"A dried-up, vegetation-free, flat-floored area composed of thin, evenly stratified sheets of fine clay, silt or sand, and represents the bottom part of a shallow, completely closed or undrained desert lake basin in which water accumulates and is quickly evaporated, usually leaving deposits of soluble salts.",Playa,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/playa/,playa,266,Current
32,Water Infrastructure Sites,"A site within or in close proximity to a subsurface sewage disposal system that generally consists of: (1) a septic tank where settling of solid material occurs, (2) a distribution system that transfers fluid from the tank to (3) a leaching system that disperses the effluent into the ground.",Septic system,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/septicSystem/,septicSystem,267,Current
33,Land Sites,"The land along the edge of the sea, a lake, or a wide river where the investigator considers the proximity of the water body to be important. Land adjacent to a reservoir, lake, impoundment, or oceanic site type is considered part of the shore when it includes a beach or bank between the high and low water marks.",Shore,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/shore/,shore,268,Current
34,Land Sites,"A crater formed when the roof of a cavern collapses; usually found in limestone areas. Surface water and precipitation that enters a sinkhole usually evaporates or infiltrates into the ground, rather than draining into a stream.",Sinkhole,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/sinkhole/,sinkhole,269,Current
35,Land Sites,"A small excavation into soil at the top few meters of earth surface. Soil generally includes some organic matter derived from plants. Soil holes are created to measure soil composition and properties. Sometimes electronic probes are inserted into soil holes to measure physical properties, and (or) the extracted soil is analyzed.",Soil hole,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/soilHole/,soilHole,270,Current
36,Spring Sites,"A location at which the water table intersects the land surface, resulting in a natural flow of groundwater to the surface. Springs may be perennial, intermittent, or ephemeral.",Spring,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/spring/,spring,271,Current
37,Water Infrastructure Sites,"An underground conduit created to convey storm drainage into a stream channel or reservoir. If the sewer also conveys liquid waste products, then the ""combined sewer"" secondary site type should be used.",Storm sewer,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/stormSewer/,stormSewer,272,Current
38,Surface Water Sites,"A body of running water moving under gravity flow in a defined channel. The channel may be entirely natural, or altered by engineering practices through straightening, dredging, and (or) lining. An entirely artificial channel should be qualified with the ""canal"" or ""ditch"" secondary site type.",Stream,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/stream/,stream,273,Current
39,Groundwater Sites,"A location below the land surface, but not a well, soil hole, or excavation.",Subsurface,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/subsurface/,subsurface,274,Current
40,Facility Sites,"A facility that uses water in the generation of electricity from heat. Typically turbine generators are driven by steam. The heat may be caused by various means, including combustion, nuclear reactions, and geothermal processes.",Thermoelectric plant,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/thermoelectricPlant/,thermoelectricPlant,275,Current
41,Surface Water Sites,"A stream reach where the flow is influenced by the tide, but where the water chemistry is not normally influenced. A site where ocean water typically mixes with stream water should be coded as an estuary.",Tidal stream,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/tidalStream/,tidalStream,276,Current
42,Groundwater Sites,"A constructed subsurface open space large enough to accommodate a human that is not substantially open to the atmosphere and is not a well. The excavation may have been for minerals, transportation, or other purposes. See also: Excavation.","Tunnel, shaft, or mine",http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/tunnelShaftMine/,tunnelShaftMine,277,Current
43,Unknown,Site type is unknown.,Unknown,,,,/api/v1/sitetype/unknown/,unknown,278,Current
44,Groundwater Sites,"A site equipped to measure conditions in the subsurface deeper than a soil hole, but above the water table or other zone of saturation.",Unsaturated zone,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/unsaturatedZone/,unsaturatedZone,279,Current
45,Geologic Sites,Vent from which volcanic gases escape to the atmosphere. Also known as fumarole.,Volcanic vent,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/volcanicVent/,volcanicVent,280,Current
46,Land Sites,"A site where the disposal of waste water on land occurs. Use ""waste-injection well"" for underground waste-disposal sites.",Wastewater land application,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/wastewaterLandApplication/,wastewaterLandApplication,281,Current
47,Water Infrastructure Sites,"An underground conduit created to convey liquid and semisolid domestic, commercial, or industrial waste into a treatment plant, stream, reservoir, or disposal site. If the sewer also conveys storm water, then the ""combined sewer"" secondary site type should be used.",Wastewater sewer,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/wastewaterSewer/,wastewaterSewer,282,Current
48,Facility Sites,A facility where wastewater is treated to reduce concentrations of dissolved and (or) suspended materials prior to discharge or reuse.,Wastewater-treatment plant,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/wastewaterTreatmentPlant/,wastewaterTreatmentPlant,283,Current
49,Water Infrastructure Sites,"A site located somewhere on a networked infrastructure that distributes treated or untreated water to multiple domestic, industrial, institutional, and (or) commercial users. May be owned by a municipality or community, a water district, or a private concern.",Water-distribution system,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/waterDistributionSystem/,waterDistributionSystem,284,Current
50,Facility Sites,A facility where water is treated prior to use for consumption or other purpose.,Water-supply treatment plant,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/waterSupplyTreatmentPlant/,waterSupplyTreatmentPlant,285,Current
51,Facility Sites,"A place-of-use (a water using facility that is associated with a specific geographical point location, such as a business or industrial user) that cannot be specified with any other facility secondary type. Water-use place-of-use sites are establishments such as a factory, mill, store, warehouse, farm, ranch, or bank. See also: Aggregate water-use-establishment.",Water-use establishment,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/waterUseEstablishment/,waterUseEstablishment,286,Current
52,Surface Water Sites,"Land where saturation with water is the dominant factor determining the nature of soil development and the types of plant and animal communities living in the soil and on its surface (Cowardin, December 1979). Wetlands are found from the tundra to the tropics and on every continent except Antarctica. Wetlands are areas that are inundated or saturated by surface or groundwater at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions. Wetlands generally include swamps, marshes, bogs and similar areas. Wetlands may be forested or unforested, and naturally or artificially created.",Wetland,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html,Adapted from USGS Site Types.,,/api/v1/sitetype/wetland/,wetland,287,Current
